gt_pattern,n,top1_recovery,median_margin,positive_margin_fraction,approximately_zero_fraction,alternative_beats_fraction
000,41,1.0,0.00544697654865595,1.0,0.0,0.0
001,167,1.0,0.005790460729497564,1.0,0.0,0.0
010,131,1.0,0.007547252006715096,1.0,0.0,0.0
011,163,1.0,0.006618886698464201,1.0,0.0,0.0
100,158,1.0,0.006543420765010675,1.0,0.0,0.0
110,168,0.9821428571428571,0.008238021532466486,0.9821428571428571,0.0,0.017857142857142856
111,172,1.0,0.015157018551468109,1.0,0.0,0.0
