pair,P_train,P_val,median_gap_val,max_bootstrap_upper95,max_subgroup_delta,parent_old_delta,child_keep_nrmse,child_absorb_nrmse,commit
C5->C4,1.0,1.0,0.002419118070974946,0.028740206640213727,0.017096560448408127,0.02958299219608307,0.1235419437289238,0.2267431765794754,False
C4->C5,1.0,1.0,0.008806025609374046,0.22629067627713084,0.1868121474981308,0.11814973503351212,0.06242195516824722,0.5088018774986267,False
C2->C3,0.948051948051948,0.975,0.0011880744714289904,0.03141357954591512,0.023361418396234512,0.030683957040309906,0.08128079026937485,0.17518317699432373,False
