O4 full M=3 tp=identity seed=2 device=cuda
epoch=000 loss=0.131862 effect=0.130645 active=1.217 val_nrmse=1.00159
epoch=010 loss=0.030084 effect=0.027084 active=3.000 val_nrmse=0.44790
epoch=020 loss=0.023402 effect=0.020402 active=3.000 val_nrmse=0.39502
epoch=030 loss=0.020610 effect=0.017610 active=3.000 val_nrmse=0.36387
epoch=040 loss=0.019150 effect=0.016150 active=3.000 val_nrmse=0.34930
epoch=050 loss=0.017998 effect=0.014998 active=3.000 val_nrmse=0.33639
epoch=060 loss=0.017391 effect=0.014391 active=3.000 val_nrmse=0.32814
epoch=070 loss=0.016561 effect=0.013561 active=3.000 val_nrmse=0.31712
epoch=080 loss=0.015675 effect=0.012675 active=3.000 val_nrmse=0.31388
epoch=090 loss=0.015322 effect=0.012322 active=3.000 val_nrmse=0.30504
epoch=100 loss=0.014752 effect=0.011752 active=3.000 val_nrmse=0.29779
epoch=110 loss=0.014277 effect=0.011277 active=3.000 val_nrmse=0.29538
epoch=120 loss=0.013980 effect=0.010980 active=3.000 val_nrmse=0.29075
epoch=130 loss=0.013499 effect=0.010499 active=3.000 val_nrmse=0.28145
epoch=140 loss=0.012937 effect=0.009937 active=3.000 val_nrmse=0.27557
epoch=150 loss=0.012689 effect=0.009689 active=3.000 val_nrmse=0.27067
epoch=160 loss=0.012105 effect=0.009105 active=3.000 val_nrmse=0.26570
epoch=170 loss=0.011827 effect=0.008827 active=3.000 val_nrmse=0.26069
epoch=180 loss=0.011438 effect=0.008438 active=3.000 val_nrmse=0.25475
epoch=190 loss=0.011257 effect=0.008257 active=3.000 val_nrmse=0.24991
epoch=199 loss=0.010972 effect=0.007972 active=3.000 val_nrmse=0.24488
