O3-A tp=orthogonal seed=1 device=cuda
epoch=000 loss=0.093574 effect=0.090664 active=2.910 val_nrmse=0.69215
epoch=010 loss=0.025466 effect=0.022466 active=2.999 val_nrmse=0.40540
epoch=020 loss=0.011311 effect=0.008312 active=3.000 val_nrmse=0.24921
epoch=030 loss=0.007233 effect=0.004233 active=3.000 val_nrmse=0.18042
epoch=040 loss=0.005998 effect=0.002998 active=3.000 val_nrmse=0.15488
epoch=050 loss=0.005377 effect=0.002377 active=3.000 val_nrmse=0.13716
epoch=060 loss=0.005003 effect=0.002003 active=3.000 val_nrmse=0.12506
epoch=070 loss=0.004683 effect=0.001683 active=3.000 val_nrmse=0.11557
epoch=080 loss=0.004528 effect=0.001528 active=3.000 val_nrmse=0.10923
epoch=090 loss=0.004356 effect=0.001356 active=3.000 val_nrmse=0.10322
epoch=100 loss=0.004257 effect=0.001257 active=3.000 val_nrmse=0.10126
epoch=110 loss=0.004086 effect=0.001086 active=3.000 val_nrmse=0.09601
epoch=120 loss=0.004031 effect=0.001031 active=3.000 val_nrmse=0.09070
epoch=130 loss=0.003974 effect=0.000975 active=3.000 val_nrmse=0.09363
epoch=140 loss=0.003892 effect=0.000892 active=3.000 val_nrmse=0.08714
epoch=150 loss=0.003835 effect=0.000835 active=3.000 val_nrmse=0.08240
epoch=160 loss=0.003779 effect=0.000779 active=3.000 val_nrmse=0.08056
epoch=170 loss=0.003719 effect=0.000719 active=3.000 val_nrmse=0.07442
epoch=180 loss=0.003723 effect=0.000723 active=3.000 val_nrmse=0.07456
epoch=190 loss=0.003646 effect=0.000646 active=3.000 val_nrmse=0.07132
epoch=199 loss=0.003569 effect=0.000569 active=3.000 val_nrmse=0.06936
