S1 lambda=0.001 seed=0 device=cpu
epoch=000 loss=0.131745 effect=0.130512 active=1.233 val_nrmse=1.00299
epoch=010 loss=0.041254 effect=0.038681 active=2.573 val_nrmse=0.52896
epoch=020 loss=0.019118 effect=0.015394 active=3.724 val_nrmse=0.32465
epoch=030 loss=0.013969 effect=0.010219 active=3.749 val_nrmse=0.27126
epoch=040 loss=0.011912 effect=0.007823 active=4.089 val_nrmse=0.23698
epoch=050 loss=0.009578 effect=0.005384 active=4.194 val_nrmse=0.20319
epoch=060 loss=0.008677 effect=0.004489 active=4.188 val_nrmse=0.19311
epoch=070 loss=0.008302 effect=0.004098 active=4.204 val_nrmse=0.17644
epoch=080 loss=0.007905 effect=0.003651 active=4.254 val_nrmse=0.16191
epoch=090 loss=0.007511 effect=0.003160 active=4.351 val_nrmse=0.16029
epoch=100 loss=0.007293 effect=0.002947 active=4.346 val_nrmse=0.15357
epoch=110 loss=0.007327 effect=0.002973 active=4.355 val_nrmse=0.15132
epoch=120 loss=0.007074 effect=0.002713 active=4.360 val_nrmse=0.14269
epoch=130 loss=0.006863 effect=0.002535 active=4.328 val_nrmse=0.14086
epoch=140 loss=0.006631 effect=0.002285 active=4.346 val_nrmse=0.13594
epoch=150 loss=0.006543 effect=0.002177 active=4.367 val_nrmse=0.13027
epoch=160 loss=0.006506 effect=0.002144 active=4.362 val_nrmse=0.12778
epoch=170 loss=0.006352 effect=0.002005 active=4.347 val_nrmse=0.12280
epoch=180 loss=0.006310 effect=0.001959 active=4.352 val_nrmse=0.12121
epoch=190 loss=0.006244 effect=0.001906 active=4.338 val_nrmse=0.12656
epoch=199 loss=0.006145 effect=0.001817 active=4.328 val_nrmse=0.12335
{"splits": {"test_iid": {"prediction_nrmse": 0.114384725689888, "expected_active": 4.333102703094482, "candidate_usage": [1.0, 0.9886390566825867, 0.3444666862487793, 0.9999973773956299, 1.0], "participation_f1_mean": 0.6569870413302145, "participation_f1_min": 0.5551753635585971, "participation": {"Z1": {"precision": 0.6615698267074414, "recall": 0.4782608695652174, "f1": 0.5551753635585971, "auroc": 0.5861923636947975}, "Z2": {"precision": 0.6333, "recall": 1.0, "f1": 0.7754852139839589, "auroc": 0.44954065370483737}, "Z3": {"precision": 0.47391304347826085, "recall": 0.9867368421052631, "f1": 0.6403005464480874, "auroc": 0.5052818195488722}}, "instance_effect_r2_matrix": [[-4.6985467051554615, -1.5231882609567449, -4.512043406575354], [-0.3498906187140294, -0.4718350133740794, -0.35119469948791426], [0.06970618131912176, -0.11294355273359535, -0.13939266466832279], [-1.3370606094914197, -0.49507159758973973, -2.425973894503531], [-5.004496114738243, -2.257197917248541, -4.248060063471879]], "instance_mapping_gt_to_learned": {"2": 1, "0": 2, "1": 3}, "instance_effect_r2_matched": [0.06970618131912176, -0.49507159758973973, -0.35119469948791426], "instance_effect_r2_min": -0.49507159758973973}, "test_context": {"prediction_nrmse": 0.13334687054157257, "expected_active": 4.132575511932373, "candidate_usage": [1.0, 0.9999972581863403, 0.1325775533914566, 1.0, 1.0], "participation_f1_mean": 0.6145934839598887, "participation_f1_min": 0.4242274412855377, "participation": {"Z1": {"precision": 0.9764795144157815, "recall": 0.27097589219917884, "f1": 0.4242274412855377, "auroc": 0.632546568211677}, "Z2": {"precision": 0.6333, "recall": 1.0, "f1": 0.7754852139839589, "auroc": 0.4331235703089048}, "Z3": {"precision": 0.475, "recall": 1.0, "f1": 0.6440677966101694, "auroc": 0.46880172431077693}}, "instance_effect_r2_matrix": [[-15.711858631160904, -3.3895386058409835, -15.540194600519122], [-0.791089541030854, -0.2621463977892762, -0.829197657362519], [0.019454967096967812, -0.043535065281474106, -0.04077403131466739], [-4.616940864307884, -1.0591200028498604, -5.7832396825483166], [-18.05124601119483, -4.496049908248149, -15.223118305440337]], "instance_mapping_gt_to_learned": {"2": 1, "0": 2, "1": 3}, "instance_effect_r2_matched": [0.019454967096967812, -1.0591200028498604, -0.829197657362519], "instance_effect_r2_min": -1.0591200028498604}, "test_combination_101": {"prediction_nrmse": 0.15204490721225739, "expected_active": 4.451637268066406, "candidate_usage": [1.0, 0.9589647650718689, 0.49270811676979065, 0.9999678730964661, 1.0], "participation_f1_mean": 0.6598465908124563, "participation_f1_min": 0.0, "participation": {"Z1": {"precision": 1.0, "recall": 1.0, "f1": 1.0, "auroc": NaN}, "Z2": {"precision": 0.0, "recall": 0.0, "f1": 0.0, "auroc": NaN}, "Z3": {"precision": 1.0, "recall": 0.9599, "f1": 0.9795397724373692, "auroc": NaN}}, "instance_effect_r2_matrix": [[-2.0029044185973173, -1.663707421875e+16, -1.6617393403620286], [-0.12616025035156309, -5376522949218749.0, -0.06038728923561365], [0.07135625773278254, -1306589965820311.5, -0.12984399479115094], [-0.09936116997287603, -9100487304687500.0, -1.0703654121892212], [-2.5858691349111655, -2.06938984375e+16, -1.63186617817004]], "instance_mapping_gt_to_learned": {"2": 1, "1": 2, "0": 3}, "instance_effect_r2_matched": [-0.09936116997287603, -1306589965820311.5, -0.06038728923561365], "instance_effect_r2_min": -1306589965820311.5}}, "good_working_point": false, "experiment": "S1", "lambda_participation": 0.001, "optimization_seed": 0, "best_epoch": 198, "best_val_nrmse_subset": 0.11694405227899551, "epochs_run": 200, "wall_seconds": 966.1123647689819}
