round,train_mse,val_nrmse,unit_accuracy,base_change,base_agreement,mean_sign_split,r2_1,r2_2,r2_3,u1,u2,u3,u4,u5
0,0.060058217495679855,0.818006157875061,0.2916666666666667,1.0,0.2119140625,0.25223653016568637,-0.49614499584514715,-0.6246046439595436,-0.5481308500027047,0.23697916666666666,0.06575520833333333,0.3307291666666667,0.0703125,0.2962239583333333
1,0.046022962778806686,0.7514742612838745,0.28125,0.8935546875,0.1357421875,0.27728121872439065,-0.31688543512707645,-0.4726875309261316,-0.36149939816287135,0.24283854166666666,0.12076822916666667,0.2587890625,0.150390625,0.22721354166666666
2,0.039576638489961624,0.6935601234436035,0.28515625,0.818359375,0.2216796875,0.5010465875498084,-0.24346503364967576,-0.3689474149530123,-0.3605838885857624,0.2630208333333333,0.13444010416666666,0.23404947916666666,0.15625,0.21223958333333334
3,0.034187912940979004,0.64433753490448,0.3385416666666667,0.7734375,0.30859375,0.5734432717408819,-0.09047867907654394,-0.3438649503037079,-0.44051977059783054,0.2584635416666667,0.138671875,0.23502604166666666,0.14453125,0.22330729166666666
4,0.028942611068487167,0.5922125577926636,0.37109375,0.677734375,0.3251953125,0.6584554409829769,-0.027627156272961084,-0.36080154491194283,-0.521096617038989,0.24869791666666666,0.134765625,0.24381510416666666,0.14713541666666666,0.2255859375
5,0.022775355726480484,0.5338497161865234,0.3958333333333333,0.6552734375,0.3583984375,0.7475788960350981,0.01939439248761987,-0.525624106200814,-0.27935099619953485,0.22037760416666666,0.16015625,0.24055989583333334,0.15169270833333334,0.22721354166666666
6,0.018701251596212387,0.4791162312030792,0.4479166666666667,0.5634765625,0.435546875,0.8076515289631647,-0.020012988957145428,-0.38516413682435524,-0.36944704929755146,0.20768229166666666,0.17252604166666666,0.2373046875,0.166015625,0.21647135416666666
7,0.015498179942369461,0.43763497471809387,0.4908854166666667,0.548828125,0.47265625,0.8433139091819029,0.022758538364335612,-0.15051774648919802,-0.32810430499565224,0.20703125,0.18229166666666666,0.224609375,0.15397135416666666,0.23209635416666666
8,0.01301510352641344,0.40077096223831177,0.5286458333333334,0.5185546875,0.501953125,0.8376971540324575,-0.15332908136967616,-0.02854830598810465,-0.49828243847491716,0.18326822916666666,0.19401041666666666,0.23046875,0.16373697916666666,0.228515625
9,0.011497804895043373,0.4062121510505676,0.5182291666666666,0.478515625,0.474609375,0.856348074046136,-0.46952614957649197,0.013593702578672984,-0.6850959457576349,0.1875,0.19173177083333334,0.22721354166666666,0.166015625,0.2275390625
