O4 full M=3 tp=orthogonal seed=1 device=cuda
epoch=000 loss=0.133836 effect=0.132419 active=1.417 val_nrmse=1.00240
epoch=010 loss=0.033501 effect=0.030501 active=2.999 val_nrmse=0.47424
epoch=020 loss=0.024592 effect=0.021592 active=3.000 val_nrmse=0.39934
epoch=030 loss=0.020229 effect=0.017229 active=3.000 val_nrmse=0.36314
epoch=040 loss=0.018155 effect=0.015155 active=3.000 val_nrmse=0.33954
epoch=050 loss=0.016181 effect=0.013181 active=3.000 val_nrmse=0.31998
epoch=060 loss=0.015286 effect=0.012286 active=3.000 val_nrmse=0.30796
epoch=070 loss=0.014533 effect=0.011533 active=3.000 val_nrmse=0.29829
epoch=080 loss=0.013549 effect=0.010549 active=3.000 val_nrmse=0.29218
epoch=090 loss=0.013185 effect=0.010185 active=3.000 val_nrmse=0.28240
epoch=100 loss=0.012723 effect=0.009723 active=3.000 val_nrmse=0.27862
epoch=110 loss=0.011985 effect=0.008985 active=3.000 val_nrmse=0.27273
epoch=120 loss=0.011542 effect=0.008542 active=3.000 val_nrmse=0.26381
epoch=130 loss=0.011136 effect=0.008136 active=3.000 val_nrmse=0.25465
epoch=140 loss=0.010549 effect=0.007549 active=3.000 val_nrmse=0.24922
epoch=150 loss=0.010330 effect=0.007330 active=3.000 val_nrmse=0.24326
epoch=160 loss=0.010155 effect=0.007155 active=3.000 val_nrmse=0.23758
epoch=170 loss=0.009632 effect=0.006632 active=3.000 val_nrmse=0.23098
epoch=180 loss=0.009425 effect=0.006425 active=3.000 val_nrmse=0.22734
epoch=190 loss=0.009106 effect=0.006106 active=3.000 val_nrmse=0.22361
epoch=199 loss=0.008945 effect=0.005945 active=3.000 val_nrmse=0.22500
{"prediction_nrmse": {"train": 0.21379397809505463, "val": 0.21565943956375122, "test_iid": 0.21303564310073853, "test_context": 0.20988938212394714, "test_combination_101": 0.26593872904777527}, "participation": {"Z1": {"precision": 0.47495, "recall": 1.0, "f1": 0.6440218312485169, "auroc": 0.37802588876104914}, "Z2": {"precision": 0.6333, "recall": 1.0, "f1": 0.7754852139839589, "auroc": 0.4163968169467045}, "Z3": {"precision": 0.475, "recall": 1.0, "f1": 0.6440677966101694, "auroc": 0.3957935388471178}}, "participation_f1_mean": 0.6878582806142152, "participation_f1_min": 0.6440218312485169, "participation_auroc_mean": 0.39673874818495714, "instance_effect_r2": {"train": {"matrix": [[-2.2345318237438585, -0.6524683481685631, -0.8668695939052267], [-2.005333170274793, -0.5360674305178985, -1.8530888958607354], [-0.6288809935294761, -0.24219806514935827, -2.037988395616715]], "hungarian_mapping_gt_to_learned": {"2": 0, "1": 1, "0": 2}, "matched": [-0.6288809935294761, -0.5360674305178985, -0.8668695939052267], "minimum_matched": -0.8668695939052267}, "val": {"matrix": [[-2.2718158763745975, -0.6540344019337636, -0.8473349712421834], [-2.0018649469649517, -0.5445876590529202, -1.826817735612472], [-0.6229929232716207, -0.24442770776471523, -2.014148018083609]], "hungarian_mapping_gt_to_learned": {"2": 0, "1": 1, "0": 2}, "matched": [-0.6229929232716207, -0.5445876590529202, -0.8473349712421834], "minimum_matched": -0.8473349712421834}, "test_iid": {"matrix": [[-2.1889640954603005, -0.660986920609314, -0.8732177395226339], [-1.9581679787734445, -0.5325544569279186, -1.9053482672504143], [-0.5963464257885775, -0.2434226372125723, -2.073408304839556]], "hungarian_mapping_gt_to_learned": {"2": 0, "1": 1, "0": 2}, "matched": [-0.5963464257885775, -0.5325544569279186, -0.8732177395226339], "minimum_matched": -0.8732177395226339}, "test_context": {"matrix": [[-5.791433352832395, -1.192819812314803, -4.4712542926055105], [-8.715748255060175, -1.5174537715628835, -7.6622411510309725], [-3.0539018219659946, -0.6036798887743358, -4.48796121785963]], "hungarian_mapping_gt_to_learned": {"2": 0, "1": 1, "0": 2}, "matched": [-3.0539018219659946, -1.5174537715628835, -4.4712542926055105], "minimum_matched": -4.4712542926055105}, "test_combination_101": {"matrix": [[-1.2752178344565293, -9544798828125000.0, 0.15092079833594452], [-0.6760456650950806, -8821985351562499.0, -0.5471326621859958], [0.3552601598161982, -8692033203124999.0, -1.044482587092657]], "hungarian_mapping_gt_to_learned": {"2": 0, "0": 1, "1": 2}, "matched": [-0.6760456650950806, -8692033203124999.0, 0.15092079833594452], "minimum_matched": -8692033203124999.0}}, "functional_r2": {"matrix": [[-0.611701364717762, -0.28549289256413446, -0.5361468674341443], [-0.5752908822471945, -0.14721123525502922, -0.39281706214028844], [0.10405805596566786, 0.0037623008620668585, -0.3621813225359425]], "hungarian_mapping_gt_to_learned": {"1": 0, "2": 1, "0": 2}, "matched": [0.10405805596566786, -0.28549289256413446, -0.39281706214028844], "minimum_matched": -0.39281706214028844, "calibration": {"learned_0_gt_0": {"slope": -0.005595242138952017, "intercept": -0.26947182416915894, "n": 3167}, "learned_1_gt_0": {"slope": -0.04542521387338638, "intercept": -0.5465316772460938, "n": 3167}, "learned_2_gt_0": {"slope": -0.28073740005493164, "intercept": -0.6031320691108704, "n": 3167}, "learned_0_gt_1": {"slope": -0.10834561288356781, "intercept": -0.22335676848888397, "n": 3167}, "learned_1_gt_1": {"slope": -0.33585718274116516, "intercept": -0.5467351675033569, "n": 3167}, "learned_2_gt_1": {"slope": -0.17113324999809265, "intercept": -0.6254702806472778, "n": 3167}, "learned_0_gt_2": {"slope": -0.11384362727403641, "intercept": -0.23125113546848297, "n": 3167}, "learned_1_gt_2": {"slope": 0.24103856086730957, "intercept": -0.528039813041687, "n": 3167}, "learned_2_gt_2": {"slope": -0.0229188222438097, "intercept": -0.6408788561820984, "n": 3167}}}, "expected_active": 2.9999799728393555, "candidate_usage": [0.9999912977218628, 0.9999992251396179, 0.9999998211860657], "pass_components": {"iid_nrmse_lt_0.05": false, "combination_101_nrmse_lt_0.05": false, "participation_f1_mean_gt_0.9": false, "instance_effect_r2_min_gt_0.9": false, "functional_r2_min_gt_0.9": false}, "pass": false, "experiment": "O4", "tp": "orthogonal", "optimization_seed": 1, "best_epoch": 195, "best_val_nrmse_subset": 0.21743275225162506, "epochs_run": 200, "wall_seconds": 233.61463117599487}
