O4 full M=3 tp=orthogonal seed=0 device=cuda
epoch=000 loss=0.132369 effect=0.130922 active=1.447 val_nrmse=1.00180
epoch=010 loss=0.031819 effect=0.028819 active=3.000 val_nrmse=0.46223
epoch=020 loss=0.023893 effect=0.020893 active=3.000 val_nrmse=0.39542
epoch=030 loss=0.020633 effect=0.017633 active=3.000 val_nrmse=0.36776
epoch=040 loss=0.019195 effect=0.016195 active=3.000 val_nrmse=0.34884
epoch=050 loss=0.017977 effect=0.014977 active=3.000 val_nrmse=0.33753
epoch=060 loss=0.017457 effect=0.014457 active=3.000 val_nrmse=0.33372
epoch=070 loss=0.017138 effect=0.014138 active=3.000 val_nrmse=0.32624
epoch=080 loss=0.016209 effect=0.013209 active=3.000 val_nrmse=0.31871
epoch=090 loss=0.015973 effect=0.012973 active=3.000 val_nrmse=0.31523
epoch=100 loss=0.015404 effect=0.012404 active=3.000 val_nrmse=0.31230
epoch=110 loss=0.015094 effect=0.012094 active=3.000 val_nrmse=0.30078
epoch=120 loss=0.014313 effect=0.011313 active=3.000 val_nrmse=0.29392
epoch=130 loss=0.014092 effect=0.011092 active=3.000 val_nrmse=0.28934
epoch=140 loss=0.013478 effect=0.010478 active=3.000 val_nrmse=0.28623
epoch=150 loss=0.013102 effect=0.010102 active=3.000 val_nrmse=0.28119
epoch=160 loss=0.012812 effect=0.009812 active=3.000 val_nrmse=0.27349
epoch=170 loss=0.012240 effect=0.009240 active=3.000 val_nrmse=0.26597
epoch=180 loss=0.011947 effect=0.008947 active=3.000 val_nrmse=0.26453
epoch=190 loss=0.011691 effect=0.008691 active=3.000 val_nrmse=0.26008
epoch=199 loss=0.011302 effect=0.008302 active=3.000 val_nrmse=0.25180
