round,train_mse,val_nrmse,cluster_accuracy,assignment_change,functional_r2_1,functional_r2_2,functional_r2_3,u1,u2,u3,u4,u5
0,0.0549517460167408,0.7482638955116272,0.3561197916666667,1.0,-0.8422578255702875,-0.6120317932212136,-0.4580144830260231,0.044270833333333336,0.036458333333333336,0.77880859375,0.023518880208333332,0.116943359375
1,0.03254401311278343,0.6062805652618408,0.3310546875,0.4453938802083333,-1.1880507869120795,-1.2373908485032912,-1.0092197308395687,0.17618815104166666,0.06746419270833333,0.5223795572916666,0.069580078125,0.16438802083333334
2,0.022645674645900726,0.5368516445159912,0.3427734375,0.4571940104166667,-1.4130283692329941,-1.456317348983307,-1.025376035671171,0.23665364583333334,0.09098307291666667,0.392578125,0.09847005208333333,0.18131510416666666
3,0.01780908927321434,0.479803204536438,0.3317057291666667,0.4580891927083333,-1.314627382466671,-1.350536032807427,-0.6646100146960139,0.23714192708333334,0.126220703125,0.3324381510416667,0.10660807291666667,0.19759114583333334
4,0.014322970993816853,0.4365164339542389,0.3551432291666667,0.4419759114583333,-0.7638358389441027,-1.3743696708120354,-0.5132336070654133,0.22843424479166666,0.16438802083333334,0.312255859375,0.09781901041666667,0.19710286458333334
5,0.01172519102692604,0.3935880661010742,0.3883463541666667,0.4114583333333333,-0.56095307929718,-1.3777435770817652,-0.6097099108874773,0.23665364583333334,0.159912109375,0.3113606770833333,0.09488932291666667,0.19718424479166666
6,0.00944567285478115,0.36013615131378174,0.3987630208333333,0.3729654947916667,-0.3543435018909735,-1.29723000543152,-0.5701156990809739,0.248046875,0.16316731770833334,0.3109537760416667,0.08935546875,0.1884765625
7,0.008093494921922684,0.33416953682899475,0.4195963541666667,0.3602701822916667,-0.21192527898469193,-1.1991662002782824,-0.5077060775662372,0.245849609375,0.15804036458333334,0.3219401041666667,0.09147135416666667,0.18269856770833334
8,0.006975138559937477,0.3166544735431671,0.4085286458333333,0.3582356770833333,-0.13013675605949637,-1.0170270192435305,-0.321414421514983,0.2508951822916667,0.1474609375,0.3318684895833333,0.09228515625,0.177490234375
9,0.005861351732164621,0.29114827513694763,0.4091796875,0.35302734375,-0.02876656600000782,-1.0696352262156523,-0.07208564515916804,0.24446614583333334,0.15323893229166666,0.335205078125,0.09635416666666667,0.17073567708333334
10,0.005374685395509005,0.28630825877189636,0.4124348958333333,0.3509928385416667,0.07022044773207192,-1.0744825102845437,-0.13545771362217152,0.23624674479166666,0.15592447916666666,0.33837890625,0.10148111979166667,0.16796875
11,0.005025358870625496,0.2714780867099762,0.4322916666666667,0.3424479166666667,0.13044616634530426,-0.8092066376112912,-0.0005490902960370025,0.23583984375,0.15226236979166666,0.340576171875,0.10123697916666667,0.17008463541666666
12,0.004686310887336731,0.25059613585472107,0.4456380208333333,0.3199869791666667,0.03741608497234128,-0.14836417001362,-0.44517826621199497,0.224853515625,0.14933268229166666,0.340576171875,0.09903971354166667,0.18619791666666666
13,0.00452401302754879,0.24255548417568207,0.4479166666666667,0.3030598958333333,0.08185784517175032,-0.08658853629099084,-0.5094358351131703,0.20930989583333334,0.14835611979166666,0.3370768229166667,0.10847981770833333,0.19677734375
14,0.003785940585657954,0.22308820486068726,0.4641927083333333,0.3040364583333333,0.3124075765629851,-0.5917687199637658,-0.1367110183785969,0.19140625,0.15177408854166666,0.338134765625,0.11604817708333333,0.20263671875
15,0.003403446404263377,0.22598357498645782,0.4612630208333333,0.2941080729166667,0.3455970214142994,-0.42502418204472847,-0.08752034561910049,0.187744140625,0.15633138020833334,0.3409016927083333,0.10953776041666667,0.20548502604166666
16,0.0031831550877541304,0.21442145109176636,0.4586588541666667,0.2945963541666667,0.49450400828998453,-0.25657859360893176,0.049697519421491476,0.171142578125,0.16463216145833334,0.347900390625,0.10758463541666667,0.208740234375
17,0.003140524262562394,0.20696628093719482,0.4801432291666667,0.2876790364583333,0.7411309730303592,-0.055187625076503544,0.04981632483307796,0.17122395833333334,0.16227213541666666,0.3519694010416667,0.105712890625,0.20882161458333334
18,0.002809857716783881,0.19530421495437622,0.4873046875,0.2825520833333333,0.8232767893879592,-0.09241216475167158,0.12314042407222325,0.17008463541666666,0.16650390625,0.3519694010416667,0.099609375,0.21183268229166666
19,0.002537098713219166,0.1848471760749817,0.4973958333333333,0.2815755208333333,0.8764492402042735,0.139765874709317,0.07875182911472811,0.17626953125,0.16153971354166666,0.3501790364583333,0.10026041666666667,0.21175130208333334
20,0.0023834167513996363,0.1746690720319748,0.5087890625,0.268310546875,0.8996883188130119,0.06416574412728249,0.07078617249668573,0.18790690104166666,0.15616861979166666,0.3456217447916667,0.09676106770833333,0.21354166666666666
21,0.002375839278101921,0.17165766656398773,0.5113932291666666,0.2672526041666667,0.9315160820141937,0.1981900572776626,0.07673913925017628,0.1904296875,0.15437825520833334,0.3501790364583333,0.09358723958333333,0.21142578125
22,0.002190457424148917,0.17671895027160645,0.52734375,0.2701822916666667,0.9388149937146834,0.21574653390692222,0.08986983035833762,0.20247395833333334,0.14794921875,0.3331705729166667,0.099853515625,0.216552734375
23,0.0019990045111626387,0.16502223908901215,0.5325520833333334,0.2759602864583333,0.9532506885910224,0.22098748736522145,0.05365180057526753,0.21207682291666666,0.14485677083333334,0.3270670572916667,0.09635416666666667,0.21964518229166666
24,0.001816621865145862,0.15665490925312042,0.556640625,0.2794596354166667,0.9633625507367132,0.2458685608446023,0.06513006537914123,0.22233072916666666,0.14396158854166666,0.320556640625,0.09407552083333333,0.21907552083333334
25,0.0018280326621606946,0.15539659559726715,0.5498046875,0.2831217447916667,0.9641094643280269,0.24756019632416804,0.023905972595808178,0.22696940104166666,0.14217122395833334,0.3207194010416667,0.08829752604166667,0.22184244791666666
26,0.0018539945594966412,0.15649273991584778,0.5455729166666666,0.2918294270833333,0.9613761961822566,0.24340333153356752,-0.007880169045326957,0.23128255208333334,0.13859049479166666,0.309326171875,0.09537760416666667,0.22542317708333334
27,0.0017967979656532407,0.15796957910060883,0.5589192708333334,0.296142578125,0.9622759240550884,0.23086144468761305,-0.009367314245930736,0.22509765625,0.14591471354166666,0.3170572916666667,0.09000651041666667,0.221923828125
28,0.0019477613968774676,0.158612921833992,0.5501302083333334,0.298095703125,0.9643479136207458,0.21074135916081105,-0.02098138964012186,0.22802734375,0.14990234375,0.3159993489583333,0.08919270833333333,0.21687825520833334
29,0.0016263580182567239,0.1609680950641632,0.5348307291666666,0.2954915364583333,0.965871329282464,0.25436283760963985,0.0071848803801095595,0.22941080729166666,0.14469401041666666,0.305419921875,0.09871419270833333,0.22176106770833334
30,0.0017760018818080425,0.16037245094776154,0.5442708333333334,0.3043619791666667,0.9520912497396681,0.25609777219073915,-0.004280457410068106,0.223388671875,0.14469401041666666,0.3059895833333333,0.10587565104166667,0.22005208333333334
31,0.0018652930157259107,0.15469220280647278,0.5286458333333334,0.3141276041666667,0.9591610637409093,0.2692303393380796,-0.0010493965046740605,0.21158854166666666,0.14827473958333334,0.3173828125,0.10123697916666667,0.22151692708333334
32,0.0016500117490068078,0.15911978483200073,0.5517578125,0.3103841145833333,0.9572537588643582,0.29176082542990467,-0.04348847468240513,0.20353190104166666,0.14420572916666666,0.3328450520833333,0.09480794270833333,0.224609375
33,0.001768990303389728,0.15344057977199554,0.5498046875,0.3041178385416667,0.9463312610986561,0.3067815858386562,0.007502900306331717,0.21061197916666666,0.146484375,0.3196614583333333,0.09765625,0.2255859375
34,0.0017728374805301428,0.15285667777061462,0.5625,0.3143717447916667,0.9586160754704127,0.3270702357746844,-0.03373758208365141,0.20841471354166666,0.140625,0.322998046875,0.10213216145833333,0.225830078125
